,Unnamed: 0,start_port,end_port,start_region,end_region,start_loc_lat,start_loc_lon,end_loc_lat,end_loc_lon,start_time,end_time,route,route_name,ME_CO2,AE_CO2,ae_consumption,me_consumption,draft,sog,stw,power,rpm,rudder_angle,trim,wind_direction,wind_speed,GPS_distance,sog_distance,IMO_ME_consump,IMO_pilot_consump,IMO_aux_consump,IMO_boiler_consump,IMO_ME_CO2,IMO_pilot_CO2,IMO_aux_CO2,IMO_boiler_CO2,IMO_CO2_consump,desmo_CO2
39,39,Russian Federation: Novorossiysk,Russian Federation: Novorossiysk,,,44.73,37.8,44.73,37.8,26/10/2017 07:35,26/10/2017 07:55,Russian Federation: Novorossiysk->Russian Federation: Novorossiysk,port_activity,50545.02854,287920.2936,2.1553609,0.38955706,6.0465436,0.0,0.00267451,0.0,0.0,2.865705,1.4835568,46.0,5.617697794,0.0,0.0,0.0,0,29250,44200,0.0,0,93775.5,137638.8,231414.3,249523.554
40,40,Russian Federation: Novorossiysk,Ukraine: Odessa,,,44.73,37.8,46.5,30.73,26/10/2017 18:35,28/10/2017 04:05,Russian Federation: Novorossiysk->Ukraine: Odessa,,48615096.78,10172270.46,2.175692818,10.70522362,5.651953499,10.97889267,10.96187713,2.273341751,70.20747552,3.52696074,2.332648464,228.9614286,9.788197097,379.6822409,384.2612435,19747441.58,0,2326350,329800,61493533.09,0,7458278.1,1026997.2,69978808.39,80327160.81
41,41,Ukraine: Odessa,Ukraine: Odessa,,,46.5,30.73,46.49,30.75,03/11/2017 18:00,03/11/2017 18:20,Ukraine: Odessa->Ukraine: Odessa,port_activity,190876.9844,307699.0533,2.30342398,1.47111356,7.76000672,2.290753968,2.472827248,0.0,0.0,3.050806998,1.09840008,322.8,6.383570404,0.862246269,2.290753968,6442.81918,0,48750,44200,20062.93893,0,156292.5,137638.8,313994.2389,249523.554
42,42,Ukraine: Odessa,United States of America: Jacintoport,,North East America,46.49,30.75,29.75,-95.1,05/11/2017 12:25,28/11/2017 10:25,Ukraine: Odessa->United States of America: Jacintoport,,1294410511.0,159501113.5,2.16765438,18.09635536,7.418959458,13.03915747,13.32648312,4.010130906,90.29392789,2.18944993,2.116476712,162.0716924,11.95098029,7163.933931,7189.429496,516398057.6,0,29244150,697000,1608063551.0,0,93756744.9,2170458.0,1703990754.0,1878355527.0
43,43,United States of America: Jacintoport,unknown: Puerto Barrios,North East America,,29.75,-95.1,15.84,-88.6,05/12/2017 08:25,09/12/2017 04:45,United States of America: Jacintoport->unknown: Puerto Barrios,,152261882.6,34072262.0,2.737994645,12.57890558,5.336148927,12.08851809,12.30795115,2.781026916,80.55089346,2.454931489,2.488196276,159.7261649,5.901082209,1119.787729,1126.666911,56705969.22,0,5616000,448800,176582388.2,0,18004896.0,1397563.2,195984847.4,213422898.9
44,44,unknown: Puerto Barrios,unknown: Puerto Barrios,,,15.84,-88.6,15.7,-88.62,14/12/2017 21:45,14/12/2017 23:10,unknown: Puerto Barrios->unknown: Puerto Barrios,port_activity,991383.3084,1055918.792,2.634856625,2.54690638,5.950514847,4.155051227,4.276045248,0.344010517,12.78038819,7.203642061,1.392810583,61.22222222,6.025903946,8.680685198,12.46515368,196380.4602,0,230100,129200,611528.7529,0,737700.6,402328.8,1751558.153,1325461.292
45,45,unknown: Puerto Barrios,unknown: Puerto Barrios,,,15.7,-88.62,15.82,-88.6,16/12/2017 23:55,17/12/2017 01:20,unknown: Puerto Barrios->unknown: Puerto Barrios,port_activity,2121962.197,1030800.526,2.572178481,5.451412195,9.563517834,4.272794576,4.451524525,0.593955168,22.31482742,6.43151242,0.927515503,54.96666667,4.525151542,7.452016642,12.81838373,217478.6494,0,313950,125800,677228.5141,0,1006523.7,391741.2,2075493.414,1286375.523
46,46,unknown: Puerto Barrios,unknown: Puerto Barrios,,,15.82,-88.6,15.7,-88.62,18/12/2017 01:45,18/12/2017 02:40,unknown: Puerto Barrios->unknown: Puerto Barrios,port_activity,2076465.443,680955.6557,2.5488047,8.001793614,9.553801308,6.67094333,7.12665002,1.281954976,45.79212444,-0.261302306,1.077919683,62.55555556,6.674930675,6.759947974,13.34188666,363010.6094,0,265200,81600,1130415.038,0,850231.2,254102.4,2234748.638,1456011.434
47,47,unknown: Puerto Barrios,Panama: Colon,,,15.7,-88.62,9.42,-79.93,18/12/2017 12:30,21/12/2017 12:45,unknown: Puerto Barrios->Panama: Colon,,173667226.3,22720885.32,2.331353751,18.29941231,9.353456916,11.53064241,11.88056161,4.05052555,89.23164181,6.059092483,1.176085133,66.61826484,16.74669198,838.1373079,843.0252599,55390052.76,0,4028700,163200,172484624.3,0,12916012.2,508204.8,185908841.3,219696926.4
48,48,Panama: Colon,Panama: Colon,,,9.42,-79.93,9.37,-79.93,22/12/2017 14:00,22/12/2017 14:40,Panama: Colon->Panama: Colon,port_activity,668570.8737,399410.4204,2.989971956,5.152762032,9.981616222,5.418689133,5.522024629,0.841955715,23.80868089,3.935722478,0.301924622,37.11111111,8.706243335,3.924106954,5.418689133,97174.90207,0,132600,40800,302602.6451,0,425115.6,127051.2,854769.4451,532877.5613
